"theme","fundersTop10","year","recipients","totalAwarded","maxAwarded","avgAwarded"
"youth","others",2012,241,8234100.91,255000,34166.3938174274
"youth","others",2013,620,38639142.13,5391284,62321.196983871
"youth","others",2014,839,46007514.3,324500,54836.131466031
"youth","others",2015,1403,57531112.97,457924,41005.7825873129
"youth","others",2016,1036,28242390.09,1413421,27260.9942953668
"youth","others",2017,1912,32869533.31,5700952,17191.1785094142
"youth","Paul Hamlyn Foundation",2006,41,1300719.41,122006,31724.8636585366
"youth","Paul Hamlyn Foundation",2007,58,3772857.62,295000,65049.2693103448
"youth","Paul Hamlyn Foundation",2008,40,4128155,450000,103203.875
"youth","Paul Hamlyn Foundation",2009,52,5353210,772218,102946.346153846
"youth","Paul Hamlyn Foundation",2010,27,2313837,222647,85697.6666666667
"youth","Paul Hamlyn Foundation",2011,53,5265366,216005,99346.5283018868
"youth","Paul Hamlyn Foundation",2012,49,9570984,5e+06,195326.204081633
"youth","Paul Hamlyn Foundation",2013,38,4185107,750000,110134.394736842
"youth","Paul Hamlyn Foundation",2014,30,3139746.73,297866,104658.224333333
"youth","Paul Hamlyn Foundation",2015,45,2990124,280030,66447.2
"youth","Paul Hamlyn Foundation",2016,55,4367453,330000,79408.2363636364
"youth","Sport England",2009,25,1232760,999500,49310.4
"youth","Sport England",2010,34,248845,32866,7318.97058823529
"youth","Sport England",2011,44,291733,15000,6630.29545454545
"youth","Sport England",2012,44,2099731,1677500,47721.1590909091
"youth","Sport England",2013,57,3310216,1997309,58073.9649122807
"youth","Sport England",2014,41,1435575,5e+05,35014.0243902439
"youth","Sport England",2015,44,836092,293498,19002.0909090909
"youth","Sport England",2016,24,1540473,850000,64186.375
"youth","Sport England",2017,29,2895572,1874216,99847.3103448276
"youth","The Big Lottery Fund",2004,1775,76051981,1.7e+07,42846.1864788732
"youth","The Big Lottery Fund",2005,2708,110838522,9817028,40930.0302806499
"youth","The Big Lottery Fund",2006,3352,123016961,5980000,36699.5707040573
"youth","The Big Lottery Fund",2007,2044,231963776.5,28850000,113485.213551859
"youth","The Big Lottery Fund",2008,1856,97578322.46,4979916,52574.5271875
"youth","The Big Lottery Fund",2009,1797,118909182,1200000,66170.9415692821
"youth","The Big Lottery Fund",2010,1819,55199917.01,1e+06,30346.2985211655
"youth","The Big Lottery Fund",2011,2061,132462840.06,7917697,64271.1499563319
"youth","The Big Lottery Fund",2012,2105,170764518.54,25880000,81123.2867173397
"youth","The Big Lottery Fund",2013,2337,209445486.98,10318438,89621.5177492512
"youth","The Big Lottery Fund",2014,604,20790601.2,1198292,34421.5251655629
"youth","The Big Lottery Fund",2015,1483,108808213,33254467,73370.3391773432
"youth","The Big Lottery Fund",2016,2122,140356666,10379790,66143.574929312
"youth","The Big Lottery Fund",2017,1556,84657016,1500000,54406.822622108
"youth","The Wellcome Trust",2005,14,2971676,826041,212262.571428571
"youth","The Wellcome Trust",2006,36,8089984,4084076,224721.777777778
"youth","The Wellcome Trust",2007,52,13716295,4968596,263774.903846154
"youth","The Wellcome Trust",2008,48,26223150,1e+07,546315.625
"youth","The Wellcome Trust",2009,29,6432451,2623989,221808.655172414
"youth","The Wellcome Trust",2010,40,12070405,4875000,301760.125
"youth","The Wellcome Trust",2011,33,17096171,5386687,518065.787878788
"youth","The Wellcome Trust",2012,21,16061875,5440234,764851.190476191
"youth","The Wellcome Trust",2013,30,5508211,1077037,183607.033333333
"youth","The Wellcome Trust",2014,37,9040206,1967414,244329.891891892
"youth","The Wellcome Trust",2015,51,14406714,2772791,282484.588235294
"youth","The Wellcome Trust",2016,57,16049542,4862358,281570.912280702
"youth","The Wellcome Trust",2017,34,5030967,727550,147969.617647059
