"theme","fundersTop10","year","recipients","totalAwarded","maxAwarded","avgAwarded"
"community","Paul Hamlyn Foundation",2010,14,1141808,2e+05,81557.7142857143
"community","Paul Hamlyn Foundation",2011,9,666651,181500,74072.3333333333
"community","Paul Hamlyn Foundation",2012,14,1522927,220000,108780.5
"community","Paul Hamlyn Foundation",2013,12,872924,150000,72743.6666666667
"community","Paul Hamlyn Foundation",2014,8,900020,260000,112502.5
"community","Paul Hamlyn Foundation",2015,23,1849898,350000,80430.347826087
"community","Paul Hamlyn Foundation",2016,19,1896196,388000,99799.7894736842
"community","Sport England",2004,10,4041107,821877,404110.7
"community","Sport England",2005,37,12832080.32,2670440,346812.981621622
"community","Sport England",2006,23,4448832,683616,193427.47826087
"community","Sport England",2007,10,708953,249645,70895.3
"community","Sport England",2008,40,12011720,1499884,300293
"community","Sport England",2009,194,24262488,1776283,125064.371134021
"community","Sport England",2010,168,40479342,1426345,240948.464285714
"community","Sport England",2011,157,118231957,3.4e+07,753069.789808917
"community","Sport England",2012,127,8060285,3e+06,63466.811023622
"community","Sport England",2013,186,18834985,1500000,101263.360215054
"community","Sport England",2014,184,24525956,1e+06,133293.239130435
"community","Sport England",2015,119,14762167,1250000,124051.823529412
"community","Sport England",2016,55,4437767,6e+05,80686.6727272727
"community","Sport England",2017,271,9731745,1250000,35910.4981549815
"community","The Big Lottery Fund",2004,3584,371919247.8,4638975,103772.111551339
"community","The Big Lottery Fund",2005,4858,168123081,2500000,34607.4682997118
"community","The Big Lottery Fund",2006,5204,131663695,17455006,25300.4794388932
"community","The Big Lottery Fund",2007,3986,484973234.31,57908396.4,121669.150604616
"community","The Big Lottery Fund",2008,3827,166316100.62,10881926,43458.6100391952
"community","The Big Lottery Fund",2009,3600,143512857,4883565,39864.6825
"community","The Big Lottery Fund",2010,4366,120252411.08,3800000,27542.9251213926
"community","The Big Lottery Fund",2011,5458,363886019.42,214340846,66670.212425797
"community","The Big Lottery Fund",2012,4990,170669386.01,10505123,34202.2817655311
"community","The Big Lottery Fund",2013,4978,262134551.92,47000490,52658.6082603455
"community","The Big Lottery Fund",2014,1483,38534081.54,1198292,25983.8715711396
"community","The Big Lottery Fund",2015,3123,100807717,2094334,32279.1280819725
"community","The Big Lottery Fund",2016,5451,159454821,2780681,29252.3979086406
"community","The Big Lottery Fund",2017,3601,140702527,3466000,39073.1816162177
"community","The Wellcome Trust",2005,26,3403762,826041,130913.923076923
"community","The Wellcome Trust",2006,66,13758000,4050872,208454.545454545
"community","The Wellcome Trust",2007,64,31271641,5063037,488619.390625
"community","The Wellcome Trust",2008,91,45988629,1e+07,505369.549450549
"community","The Wellcome Trust",2009,60,17454625,5701081,290910.416666667
"community","The Wellcome Trust",2010,77,34379216,3878703,446483.324675325
"community","The Wellcome Trust",2011,68,25596552,5598396,376419.882352941
"community","The Wellcome Trust",2012,74,66383444,13526338,897073.567567568
"community","The Wellcome Trust",2013,76,25303288,3250206,332938
"community","The Wellcome Trust",2014,105,42025324,3816779,400241.180952381
"community","The Wellcome Trust",2015,84,20470019,3711390,243690.702380952
"community","The Wellcome Trust",2016,105,47699393,9793833,454279.933333333
"community","The Wellcome Trust",2017,60,54656637,25084066,910943.95
"disabled","Comic Relief",2015,2,635852,530989,317926
"disabled","Comic Relief",2016,1,174989,174989,174989
"disabled","Esmée Fairbairn Foundation",2008,4,138425,60000,34606.25
"disabled","Esmée Fairbairn Foundation",2009,4,183072,1e+05,45768
"disabled","Esmée Fairbairn Foundation",2010,1,36000,36000,36000
"disabled","Esmée Fairbairn Foundation",2011,6,420961,135000,70160.1666666667
"disabled","Esmée Fairbairn Foundation",2012,9,365799.41,76199.41,40644.3788888889
"disabled","Esmée Fairbairn Foundation",2013,5,532798,154728,106559.6
"disabled","Esmée Fairbairn Foundation",2014,2,112116,82116,56058
"disabled","Esmée Fairbairn Foundation",2015,6,749752,3e+05,124958.666666667
"disabled","Esmée Fairbairn Foundation",2016,1,3e+05,3e+05,3e+05
"disabled","Esmée Fairbairn Foundation",2017,3,250000,150000,83333.3333333333
"disabled","Northern Rock Foundation",2004,11,612800,150000,55709.0909090909
"disabled","Northern Rock Foundation",2005,8,509197,126409,63649.625
"disabled","Northern Rock Foundation",2006,6,403406,112404,67234.3333333333
"disabled","Northern Rock Foundation",2007,4,307215,175204,76803.75
"disabled","Northern Rock Foundation",2008,2,72780,55390,36390
"disabled","Northern Rock Foundation",2009,3,107059,49180,35686.3333333333
"disabled","Northern Rock Foundation",2010,1,127068,127068,127068
"disabled","Northern Rock Foundation",2011,2,82071,62500,41035.5
"disabled","Northern Rock Foundation",2012,2,69063,39000,34531.5
"disabled","others",2004,5,8750,3000,1750
"disabled","others",2005,9,19172,5000,2130.22222222222
"disabled","others",2006,7,45250,35000,6464.28571428571
"disabled","others",2007,14,113650,40000,8117.85714285714
"disabled","others",2008,7,9476,2476,1353.71428571429
"disabled","others",2009,4,6500,2500,1625
"disabled","others",2010,16,82118,22000,5132.375
"disabled","others",2011,11,43507,30000,3955.18181818182
"disabled","others",2012,35,695030,90000,19858
"disabled","others",2013,116,5331785,1120000,45963.6637931034
"disabled","others",2014,145,5700139.33,121965,39311.3057241379
"disabled","others",2015,224,6156216,147000,27483.1071428571
"disabled","others",2016,193,2641745.11,115200,13687.7984974093
"disabled","others",2017,446,3186302.71,135000,7144.17647982063
"disabled","Paul Hamlyn Foundation",2007,1,9370,9370,9370
"disabled","Paul Hamlyn Foundation",2008,3,243161,176961,81053.6666666667
"disabled","Paul Hamlyn Foundation",2011,4,341740,173930,85435
"disabled","Paul Hamlyn Foundation",2013,1,90000,90000,90000
"disabled","Paul Hamlyn Foundation",2014,2,147450,77000,73725
"disabled","Paul Hamlyn Foundation",2015,1,60000,60000,60000
"disabled","Paul Hamlyn Foundation",2016,1,55000,55000,55000
"disabled","Sport England",2009,2,73882,65332,36941
"disabled","Sport England",2010,4,12285,4080,3071.25
"disabled","Sport England",2011,4,38709,16709,9677.25
"disabled","Sport England",2012,8,195490,58283,24436.25
"disabled","Sport England",2013,13,629845,234000,48449.6153846154
"disabled","Sport England",2014,21,986843,191886,46992.5238095238
"disabled","Sport England",2015,11,374348,75000,34031.6363636364
"disabled","Sport England",2016,5,58882,30000,11776.4
"disabled","Sport England",2017,9,78275,23000,8697.22222222222
"disabled","The Big Lottery Fund",2004,676,29978137,4083755,44346.3565088757
"disabled","The Big Lottery Fund",2005,885,31761663,1604851,35888.8847457627
"disabled","The Big Lottery Fund",2006,834,17885375,737410,21445.293764988
"disabled","The Big Lottery Fund",2007,548,51245118.5,16103959.5,93512.9899635037
"disabled","The Big Lottery Fund",2008,414,20556946,2893086,49654.4589371981
"disabled","The Big Lottery Fund",2009,413,21403084,1153862,51823.4479418886
"disabled","The Big Lottery Fund",2010,338,9084544.65,467337,26877.351035503
"disabled","The Big Lottery Fund",2011,292,15103862,918490,51725.5547945205
"disabled","The Big Lottery Fund",2012,294,18507656.98,2120103,62951.2142176871
"disabled","The Big Lottery Fund",2013,312,21577865.36,956137,69159.8248717949
"disabled","The Big Lottery Fund",2014,81,3441603.77,454343,42488.9354320988
"disabled","The Big Lottery Fund",2015,141,9706575,1134512,68840.9574468085
"disabled","The Big Lottery Fund",2016,229,14698400,778100,64185.1528384279
"disabled","The Big Lottery Fund",2017,148,7406238,1380025,50042.1486486486
"disabled","The Wellcome Trust",2006,2,190211,188616,95105.5
"disabled","The Wellcome Trust",2008,7,506500,264470,72357.1428571429
"disabled","The Wellcome Trust",2009,3,58143,26227,19381
"disabled","The Wellcome Trust",2010,1,19650,19650,19650
"disabled","The Wellcome Trust",2011,3,1020495,972501,340165
"disabled","The Wellcome Trust",2012,2,90960,83084,45480
"disabled","The Wellcome Trust",2013,3,108526,93685,36175.3333333333
"disabled","The Wellcome Trust",2014,5,1374280,1052940,274856
"disabled","The Wellcome Trust",2015,5,175930,81095,35186
"disabled","The Wellcome Trust",2016,11,795738,256000,72339.8181818182
"disabled","The Wellcome Trust",2017,3,65709,49996,21903
"elderly","Comic Relief",2016,1,40000,40000,40000
"elderly","Esmée Fairbairn Foundation",2009,2,166940,146940,83470
"elderly","Esmée Fairbairn Foundation",2011,1,30000,30000,30000
"elderly","Esmée Fairbairn Foundation",2012,2,217281,195281,108640.5
"elderly","Northern Rock Foundation",2004,2,34780,19780,17390
"elderly","Northern Rock Foundation",2005,2,125000,80000,62500
"elderly","Northern Rock Foundation",2006,1,99002,99002,99002
"elderly","Northern Rock Foundation",2007,1,64423,64423,64423
"elderly","Northern Rock Foundation",2009,1,7600,7600,7600
"elderly","Northern Rock Foundation",2010,1,78951,78951,78951
"elderly","others",2004,2,3474,2474,1737
"elderly","others",2005,2,21000,20000,10500
"elderly","others",2006,2,8500,6000,4250
"elderly","others",2007,2,4000,2000,2000
"elderly","others",2008,5,16000,7000,3200
"elderly","others",2009,11,66938,25000,6085.27272727273
"elderly","others",2010,13,96476,22000,7421.23076923077
"elderly","others",2011,4,98482,50000,24620.5
"elderly","others",2012,7,243564,146400,34794.8571428571
"elderly","others",2013,14,286984.37,55700,20498.8835714286
"elderly","others",2014,24,405486.58,81300,16895.2741666667
"elderly","others",2015,33,445863.7,50000,13511.0212121212
"elderly","others",2016,74,647351.92,75800,8747.99891891892
"elderly","others",2017,269,1007152.25,75000,3744.06040892193
"elderly","Paul Hamlyn Foundation",2012,1,104900,104900,104900
"elderly","Sport England",2010,1,2345,2345,2345
"elderly","The Big Lottery Fund",2004,240,5545205,1241250,23105.0208333333
"elderly","The Big Lottery Fund",2005,298,5535789,250000,18576.4731543624
"elderly","The Big Lottery Fund",2006,247,2947206,403856,11932.008097166
"elderly","The Big Lottery Fund",2007,112,21311273.5,16103959.5,190279.227678571
"elderly","The Big Lottery Fund",2008,115,6038304,495000,52506.9913043478
"elderly","The Big Lottery Fund",2009,78,2548443,587719,32672.3461538462
"elderly","The Big Lottery Fund",2010,69,5416203,5e+06,78495.6956521739
"elderly","The Big Lottery Fund",2011,52,799599,316323,15376.9038461538
"elderly","The Big Lottery Fund",2012,46,2134539,688316,46403.0217391304
"elderly","The Big Lottery Fund",2013,107,2278710.24,780782,21296.3573831776
"elderly","The Big Lottery Fund",2014,17,115758,10000,6809.29411764706
"elderly","The Big Lottery Fund",2015,61,2212778,540321,36275.0491803279
"elderly","The Big Lottery Fund",2016,56,1303428,361556,23275.5
"elderly","The Big Lottery Fund",2017,39,2457927,499281,63023.7692307692
"elderly","The Wellcome Trust",2005,4,2998411,2212577,749602.75
"elderly","The Wellcome Trust",2006,4,800509,340893,200127.25
"elderly","The Wellcome Trust",2007,4,947322,610728,236830.5
"elderly","The Wellcome Trust",2008,8,1675957,629434,209494.625
"elderly","The Wellcome Trust",2009,8,1481506,775035,185188.25
"elderly","The Wellcome Trust",2010,3,801422,452820,267140.666666667
"elderly","The Wellcome Trust",2011,3,193520,158205,64506.6666666667
"elderly","The Wellcome Trust",2012,10,4725654,1534080,472565.4
"elderly","The Wellcome Trust",2013,1,160280,160280,160280
"elderly","The Wellcome Trust",2014,9,4831874,2500481,536874.888888889
"elderly","The Wellcome Trust",2015,11,6371493,2772791,579226.636363636
"elderly","The Wellcome Trust",2016,7,6624295,3471673,946327.857142857
"elderly","The Wellcome Trust",2017,10,580332,250000,58033.2
"equipment","Esmée Fairbairn Foundation",2008,1,66662,66662,66662
"equipment","Esmée Fairbairn Foundation",2012,3,435466,236718,145155.333333333
"equipment","Esmée Fairbairn Foundation",2014,2,619500,319500,309750
"equipment","Esmée Fairbairn Foundation",2015,3,195556,110556,65185.3333333333
"equipment","Esmée Fairbairn Foundation",2017,1,45000,45000,45000
"equipment","Gatsby Charitable Foundation",2007,1,79823428.48,79823428.48,79823428.48
"equipment","Gatsby Charitable Foundation",2011,1,2.5e+07,2.5e+07,2.5e+07
"equipment","Gatsby Charitable Foundation",2013,1,18750000,18750000,18750000
"equipment","Northern Rock Foundation",2004,5,46444,13084,9288.8
"equipment","Northern Rock Foundation",2005,1,5000,5000,5000
"equipment","Northern Rock Foundation",2006,5,189548,1e+05,37909.6
"equipment","Northern Rock Foundation",2007,1,10612,10612,10612
"equipment","Northern Rock Foundation",2008,1,17511,17511,17511
"equipment","Northern Rock Foundation",2009,1,36525,36525,36525
"equipment","others",2004,6,205425,190659,34237.5
"equipment","others",2005,9,16000,2500,1777.77777777778
"equipment","others",2006,16,76000,35000,4750
"equipment","others",2007,21,121900,40000,5804.7619047619
"equipment","others",2008,11,24250,4000,2204.54545454545
"equipment","others",2009,7,65000,28600,9285.71428571429
"equipment","others",2010,29,339700,41400,11713.7931034483
"equipment","others",2011,16,954000,625000,59625
"equipment","others",2012,15,254640,58000,16976
"equipment","others",2013,37,1108561.7,598140,29961.127027027
"equipment","others",2014,75,2389288.7,2e+05,31857.1826666667
"equipment","others",2015,133,5633012.27,1250000,42353.4757142857
"equipment","others",2016,320,3051954.57,105378,9537.35803125
"equipment","others",2017,1376,4526099.28,120220,3289.3163372093
"equipment","Paul Hamlyn Foundation",2006,3,123327,69452,41109
"equipment","Paul Hamlyn Foundation",2007,1,91592,91592,91592
"equipment","Paul Hamlyn Foundation",2010,2,222000,179000,111000
"equipment","Paul Hamlyn Foundation",2012,2,87801,57801,43900.5
"equipment","Paul Hamlyn Foundation",2013,1,2e+05,2e+05,2e+05
"equipment","Paul Hamlyn Foundation",2016,5,404169,125000,80833.8
"equipment","Sport England",2006,2,51477,26977,25738.5
"equipment","Sport England",2008,3,1642882,1499884,547627.333333333
"equipment","Sport England",2009,40,391522,150000,9788.05
"equipment","Sport England",2010,69,626635,125000,9081.66666666667
"equipment","Sport England",2011,49,406062,34372,8286.97959183673
"equipment","Sport England",2012,74,1879719,830352,25401.6081081081
"equipment","Sport England",2013,98,1751503,501545,17872.4795918367
"equipment","Sport England",2014,194,2250345,350764,11599.7164948454
"equipment","Sport England",2015,52,1179129,361660,22675.5576923077
"equipment","Sport England",2016,44,652113,97385,14820.75
"equipment","Sport England",2017,45,2468085,500017,54846.3333333333
"equipment","The Big Lottery Fund",2004,2289,29452604,1067880,12867.0179117519
"equipment","The Big Lottery Fund",2005,2908,26393831,566091,9076.28301237964
"equipment","The Big Lottery Fund",2006,3081,26369229,955044,8558.65920155794
"equipment","The Big Lottery Fund",2007,2153,46576497,1496000,21633.3009753832
"equipment","The Big Lottery Fund",2008,2093,27797690,570633,13281.2661251792
"equipment","The Big Lottery Fund",2009,1692,31819568,1200000,18805.8912529551
"equipment","The Big Lottery Fund",2010,1596,17860037,999199,11190.4993734336
"equipment","The Big Lottery Fund",2011,1683,32012912.65,1070978,19021.3384729649
"equipment","The Big Lottery Fund",2012,1823,40561577.43,1070832,22249.905337356
"equipment","The Big Lottery Fund",2013,1552,47364023.61,8793075,30518.0564497423
"equipment","The Big Lottery Fund",2014,496,7639447.48,446887,15402.1118548387
"equipment","The Big Lottery Fund",2015,992,11569198,478657,11662.497983871
"equipment","The Big Lottery Fund",2016,1465,17179705,749960,11726.7610921502
"equipment","The Big Lottery Fund",2017,1128,16084792,769369,14259.5673758865
"equipment","The Wellcome Trust",2005,4,685096,249650,171274
"equipment","The Wellcome Trust",2006,28,27149741,6200000,969633.607142857
"equipment","The Wellcome Trust",2007,20,14832466,4968596,741623.3
"equipment","The Wellcome Trust",2008,29,42332372,1e+07,1459736.96551724
"equipment","The Wellcome Trust",2009,21,9055107,1930604,431195.571428571
"equipment","The Wellcome Trust",2010,15,26825670,1.1e+07,1788378
"equipment","The Wellcome Trust",2011,27,9863189,1500000,365303.296296296
"equipment","The Wellcome Trust",2012,25,34869927,7800000,1394797.08
"equipment","The Wellcome Trust",2013,28,14804010,1921739,528714.642857143
"equipment","The Wellcome Trust",2014,31,19196875,4923467,619254.032258064
"equipment","The Wellcome Trust",2015,20,7976387,1466666,398819.35
"equipment","The Wellcome Trust",2016,34,26321148,5416590,774151.411764706
"equipment","The Wellcome Trust",2017,20,7397691,1487450,369884.55
"individual","Esmée Fairbairn Foundation",2008,1,10000,10000,10000
"individual","Esmée Fairbairn Foundation",2009,2,143172,109372,71586
"individual","Esmée Fairbairn Foundation",2011,2,165336,98831,82668
"individual","Esmée Fairbairn Foundation",2013,1,14500,14500,14500
"individual","Esmée Fairbairn Foundation",2016,2,187645,150000,93822.5
"individual","Ministry of Justice",2012,5,1450000,539130,290000
"individual","Northern Rock Foundation",2004,1,282,282,282
"individual","Northern Rock Foundation",2007,1,33000,33000,33000
"individual","Northern Rock Foundation",2008,1,18851,18851,18851
"individual","Northern Rock Foundation",2009,2,116015,96015,58007.5
"individual","Northern Rock Foundation",2010,2,92277,75000,46138.5
"individual","Northern Rock Foundation",2012,1,11780,11780,11780
"individual","others",2007,1,11250,11250,11250
"individual","others",2009,2,313678,298678,156839
"individual","others",2011,1,59220,59220,59220
"individual","others",2012,3,212800,155800,70933.3333333333
"individual","others",2013,25,6372975,5391284,254919
"individual","others",2014,24,1217835.4,116772,50743.1416666667
"individual","others",2015,33,904614.44,104458,27412.5587878788
"individual","others",2016,104,419194.22,50000,4030.71365384615
"individual","others",2017,107,1178740.06,1e+05,11016.2622429907
"individual","Paul Hamlyn Foundation",2007,2,124959,75000,62479.5
"individual","Paul Hamlyn Foundation",2010,2,214000,198000,107000
"individual","Paul Hamlyn Foundation",2012,2,149500,120000,74750
"individual","Paul Hamlyn Foundation",2014,1,42238,42238,42238
"individual","Paul Hamlyn Foundation",2015,4,283500,120000,70875
"individual","Paul Hamlyn Foundation",2016,2,230000,210000,115000
"individual","Sport England",2010,1,9750,9750,9750
"individual","Sport England",2011,1,4630,4630,4630
"individual","Sport England",2015,1,10000,10000,10000
"individual","The Big Lottery Fund",2004,83,8719700,1299657,105056.626506024
"individual","The Big Lottery Fund",2005,130,7789167,1551303,59916.6692307692
"individual","The Big Lottery Fund",2006,126,13350504,4486172,105956.380952381
"individual","The Big Lottery Fund",2007,89,24762836,8193136,278234.112359551
"individual","The Big Lottery Fund",2008,65,9543565,1092715,146824.076923077
"individual","The Big Lottery Fund",2009,66,9024139,509950,136729.378787879
